month_start,summary
2023-09-01,"2023-09-01: Spent $15,092 (n/a MoM). Top category: —. Top merchant: ACH ELECTRONIC CREDITGUSTO PAY 123456. Estimated subscriptions: $0. Notable categories: —."
2023-10-01,"2023-10-01: Spent $18,092 (+19.9% MoM). Top category: —. Top merchant: ACH ELECTRONIC CREDITGUSTO PAY 123456. Estimated subscriptions: $0. Notable categories: —."
2023-11-01,"2023-11-01: Spent $18,092 (+0.0% MoM). Top category: —. Top merchant: ACH ELECTRONIC CREDITGUSTO PAY 123456. Estimated subscriptions: $0. Notable categories: —."
2023-12-01,"2023-12-01: Spent $18,092 (+0.0% MoM). Top category: —. Top merchant: ACH ELECTRONIC CREDITGUSTO PAY 123456. Estimated subscriptions: $0. Notable categories: —."
2024-01-01,"2024-01-01: Spent $18,092 (+0.0% MoM). Top category: —. Top merchant: ACH ELECTRONIC CREDITGUSTO PAY 123456. Estimated subscriptions: $0. Notable categories: —."
2024-02-01,"2024-02-01: Spent $18,092 (+0.0% MoM). Top category: —. Top merchant: ACH ELECTRONIC CREDITGUSTO PAY 123456. Estimated subscriptions: $0. Notable categories: —."
2024-03-01,"2024-03-01: Spent $18,092 (+0.0% MoM). Top category: —. Top merchant: ACH ELECTRONIC CREDITGUSTO PAY 123456. Estimated subscriptions: $0. Notable categories: —."
2024-04-01,"2024-04-01: Spent $18,092 (+0.0% MoM). Top category: —. Top merchant: ACH ELECTRONIC CREDITGUSTO PAY 123456. Estimated subscriptions: $0. Notable categories: —."
2024-05-01,"2024-05-01: Spent $18,092 (+0.0% MoM). Top category: —. Top merchant: ACH ELECTRONIC CREDITGUSTO PAY 123456. Estimated subscriptions: $0. Notable categories: —."
2024-06-01,"2024-06-01: Spent $18,092 (+0.0% MoM). Top category: —. Top merchant: ACH ELECTRONIC CREDITGUSTO PAY 123456. Estimated subscriptions: $0. Notable categories: —."
2024-07-01,"2024-07-01: Spent $18,092 (+0.0% MoM). Top category: —. Top merchant: ACH ELECTRONIC CREDITGUSTO PAY 123456. Estimated subscriptions: $0. Notable categories: —."
2024-08-01,"2024-08-01: Spent $20,092 (+11.1% MoM). Top category: —. Top merchant: ACH ELECTRONIC CREDITGUSTO PAY 123456. Estimated subscriptions: $0. Notable categories: —."
2024-09-01,"2024-09-01: Spent $18,092 (-10.0% MoM). Top category: —. Top merchant: ACH ELECTRONIC CREDITGUSTO PAY 123456. Estimated subscriptions: $0. Notable categories: —."
2024-10-01,"2024-10-01: Spent $19,092 (+5.5% MoM). Top category: —. Top merchant: ACH ELECTRONIC CREDITGUSTO PAY 123456. Estimated subscriptions: $0. Notable categories: —."
2024-11-01,"2024-11-01: Spent $18,092 (-5.2% MoM). Top category: —. Top merchant: ACH ELECTRONIC CREDITGUSTO PAY 123456. Estimated subscriptions: $0. Notable categories: —."
2024-12-01,"2024-12-01: Spent $18,092 (+0.0% MoM). Top category: —. Top merchant: ACH ELECTRONIC CREDITGUSTO PAY 123456. Estimated subscriptions: $0. Notable categories: —."
2025-01-01,"2025-01-01: Spent $18,092 (+0.0% MoM). Top category: —. Top merchant: ACH ELECTRONIC CREDITGUSTO PAY 123456. Estimated subscriptions: $0. Notable categories: —."
2025-02-01,"2025-02-01: Spent $18,092 (+0.0% MoM). Top category: —. Top merchant: ACH ELECTRONIC CREDITGUSTO PAY 123456. Estimated subscriptions: $0. Notable categories: —."
2025-03-01,"2025-03-01: Spent $18,092 (+0.0% MoM). Top category: —. Top merchant: ACH ELECTRONIC CREDITGUSTO PAY 123456. Estimated subscriptions: $0. Notable categories: —."
2025-04-01,"2025-04-01: Spent $18,092 (+0.0% MoM). Top category: —. Top merchant: ACH ELECTRONIC CREDITGUSTO PAY 123456. Estimated subscriptions: $0. Notable categories: —."
2025-05-01,"2025-05-01: Spent $18,092 (+0.0% MoM). Top category: —. Top merchant: ACH ELECTRONIC CREDITGUSTO PAY 123456. Estimated subscriptions: $0. Notable categories: —."
2025-06-01,"2025-06-01: Spent $18,092 (+0.0% MoM). Top category: —. Top merchant: ACH ELECTRONIC CREDITGUSTO PAY 123456. Estimated subscriptions: $0. Notable categories: —."
2025-07-01,"2025-07-01: Spent $18,105 (+0.1% MoM). Top category: —. Top merchant: ACH ELECTRONIC CREDITGUSTO PAY 123456. Estimated subscriptions: $18,105. Notable categories: —."
2025-08-01,"2025-08-01: Spent $18,092 (-0.1% MoM). Top category: —. Top merchant: ACH ELECTRONIC CREDITGUSTO PAY 123456. Estimated subscriptions: $18,092. Notable categories: —."
2025-09-01,"2025-09-01: Spent $1,000 (-94.5% MoM). Top category: —. Top merchant: UNITED AIRLINES. Estimated subscriptions: $1,000. Notable categories: —."
